id;latitude;longitude;weight
center2;18,927584;72,832585;0
order2_1;19,037584;72,942585;5
order2_2;19,037584;72,942585;5
order2_3;18,947584;72,852585;5
order2_4;18,947584;72,852585;5
order2_5;18,977584;72,882585;20
order2_6;19,057584;72,962585;20
order2_7;18,957584;72,862585;10
order2_8;18,967584;72,872585;5
order2_9;19,017584;72,922585;15
order2_10;18,937584;72,842585;10
order2_11;18,987584;72,892585;20
order2_12;19,037584;72,942585;10
order2_13;18,957584;72,862585;15
order2_14;19,037584;72,942585;5
order2_15;19,007584;72,912585;15
order2_16;18,937584;72,842585;10
order2_17;18,997584;72,902585;20
order2_18;18,967584;72,872585;5
order2_19;19,057584;72,962585;15
order2_20;19,057584;72,962585;15
